method,run,metric,n_windows,mean,std,min,median,max
udp,moving / pipelined,scans_in_window,114,4.421052631578948,3.5546174304489395,0.0,3.0,11.0
udp,moving / pipelined,scan_rate_hz,114,4.421315789473684,3.5546777141685983,0.0,3.0,11.0
udp,moving / pipelined,drspaam_fps,109,25.193394495412843,11.021703943363505,0.67,29.71,36.63
udp,moving / pipelined,t_det_ms_mean,109,148.24560550458713,300.85462739216445,27.552,33.889,1490.665
udp,moving / pipelined,t_det_ms_p95,109,209.53319266055044,377.44579798170474,28.437,35.814,1490.665
udp,moving / pipelined,t_det_ms_max,109,229.92888990825688,412.20861205827117,28.535,36.072,1490.665
udp,moving / pipelined,t_track_ms_mean,109,1.4289266055045875,0.47626680404731625,0.636,1.451,2.504
udp,moving / pipelined,t_track_ms_p95,109,1.7025688073394496,0.6352651585051721,0.636,1.748,2.923
udp,moving / pipelined,t_track_ms_max,109,1.748770642201835,0.665522290483301,0.636,1.749,2.983
udp,moving / pipelined,t_lat_ms_mean,109,166.45409174311928,325.48558404506673,30.099,36.118,1493.96
udp,moving / pipelined,t_lat_ms_p95,109,228.1748440366972,408.2636832303353,30.838,38.507,1493.96
udp,moving / pipelined,t_lat_ms_max,109,247.1076880733945,439.7826041221894,30.92,38.752,1493.96
udp,moving / pipelined,t_scan_ms_mean,108,346.9731574074074,223.3640217466221,99.194,398.637,1305.215
udp,moving / pipelined,t_scan_ms_p95,108,390.0498148148148,267.279978053437,99.992,399.85,1305.215
udp,moving / pipelined,t_scan_ms_max,108,407.2661666666666,292.4876493626553,99.992,399.965,1305.215
udp,moving / pipelined,t_fwd_ms_mean,109,136.96572477064223,300.5787259320627,19.654,22.12,1468.781
udp,moving / pipelined,t_fwd_ms_p95,109,216.97360550458714,410.8216317334672,19.698,23.202,1468.781
udp,moving / pipelined,t_fwd_ms_max,109,217.90480733944952,412.63778624789614,19.698,23.202,1468.781
udp,moving / pipelined,inference_ms_mean,109,147.94225688073394,300.7347585000469,27.304,33.658,1489.56
udp,moving / pipelined,inference_ms_p95,109,209.22985321100919,377.3537251142837,28.221,35.49,1489.56
udp,moving / pipelined,inference_ms_max,109,229.62353211009173,412.1292647607007,28.322,35.788,1489.56
udp,moving / pipelined,loss_percent,114,0.0,0.0,0.0,0.0,0.0
udp,moving / pipelined,jitter_ms,114,5.338684210526316,1.9793980997888225,1.9,5.0600000000000005,11.44
udp,moving / pipelined,wire_ms_mean,114,7.031035087719298,5.239192675647963,2.93,4.571,23.738
udp,moving / pipelined,wire_ms_p95,114,15.16098245614035,14.793319905372774,2.948,6.1805,48.64
udp,moving / pipelined,wire_ms_max,114,17.757771929824564,17.73984256000369,2.948,6.449,64.925
udp,moving / pipelined,busy_drop_in_window,114,0.6842105263157895,1.9062811383149378,0.0,0.0,10.0
udp,moving / pipelined,bad_packets_in_window,114,0.0,0.0,0.0,0.0,0.0
